"","DEGs","Cluster"
"214","Tb927.11.16190",4
"215","Tb927.11.16200",4
"216","Tb927.11.3610",4
"217","Tb927.11.3620",4
"218","Tb927.11.4430",4
"219","Tb927.11.4760",4
"220","Tb927.11.4790",4
"221","Tb927.11.6040",4
"222","Tb927.11.9020",4
"223","Tb927.3.3160",4
"224","Tb927.3.3700",4
"225","Tb927.3.4500",4
"226","Tb927.4.1200",4
"227","Tb927.4.3050",4
"228","Tb927.5.1360",4
"229","Tb927.5.1570",4
"230","Tb927.5.300",4
"231","Tb927.5.440",4
"232","Tb927.5.610",4
"233","Tb927.6.1300",4
"234","Tb927.6.1310",4
"235","Tb927.6.180",4
"236","Tb927.6.280",4
"237","Tb927.6.300",4
"238","Tb927.6.3120",4
"239","Tb927.6.3140",4
"240","Tb927.6.370",4
"241","Tb927.6.4290",4
"242","Tb927.6.430",4
"243","Tb927.6.4490",4
"244","Tb927.6.5020",4
"245","Tb927.7.1930",4
"246","Tb927.7.2370",4
"247","Tb927.7.240",4
"248","Tb927.7.7470",4
"249","Tb927.7.7500",4
"250","Tb927.8.1380",4
"251","Tb927.8.4630",4
"252","Tb927.8.4700",4
"253","Tb927.8.5270",4
"254","Tb927.8.6010",4
"255","Tb927.8.6890",4
"256","Tb927.9.11600",4
"257","Tb927.9.12680",4
"258","Tb927.9.14510",4
"259","Tb927.9.16030",4
"260","Tb927.9.2610",4
"261","Tb927.9.2690",4
"262","Tb927.9.2820",4
"263","Tb927.9.2950",4
"264","Tb927.9.3150",4
"265","Tb927.9.3810",4
"266","Tb927.9.4540",4
"267","Tb927.9.4840",4
"268","Tb927.9.5500",4
"269","Tb927.9.5670",4
"270","Tb927.9.7140",4
"271","Tb927.9.7890",4
"272","Tb927.9.9350",4
